ValuationDate,Currency,VolatilitySurfaceName,Expiry,Tenor,Strike,Volatility
6/26/2018,USD,USD_SwnVol,10Y,3Y,200,0.008416794
6/26/2018,USD,USD_SwnVol,10Y,3Y,250,0.008753441
6/26/2018,USD,USD_SwnVol,10Y,3Y,300,0.00912111
6/26/2018,USD,USD_SwnVol,10Y,3Y,400,0.009912846
6/26/2018,USD,USD_SwnVol,10Y,3Y,500,0.010743018
6/26/2018,USD,USD_SwnVol,10Y,3Y,1500,0.018982405
6/26/2018,USD,USD_SwnVol,10Y,4Y,-1500,0.007763921
6/26/2018,USD,USD_SwnVol,10Y,4Y,-500,0.007803611
6/26/2018,USD,USD_SwnVol,10Y,4Y,-400,0.007819528
6/26/2018,USD,USD_SwnVol,10Y,4Y,-300,0.007843812
6/26/2018,USD,USD_SwnVol,10Y,4Y,-250,0.007847786
6/26/2018,USD,USD_SwnVol,10Y,4Y,-200,0.007761545
6/26/2018,USD,USD_SwnVol,10Y,4Y,-150,0.007659831
6/26/2018,USD,USD_SwnVol,10Y,4Y,-125,0.007617821
6/26/2018,USD,USD_SwnVol,10Y,4Y,-100,0.00758765
6/26/2018,USD,USD_SwnVol,10Y,4Y,-75,0.007573375
6/26/2018,USD,USD_SwnVol,10Y,4Y,-50,0.007578796
6/26/2018,USD,USD_SwnVol,10Y,4Y,-37.5,0.007589992
6/26/2018,USD,USD_SwnVol,10Y,4Y,-25,0.007607374
6/26/2018,USD,USD_SwnVol,10Y,4Y,-12.5,0.007631298
6/26/2018,USD,USD_SwnVol,10Y,4Y,0,0.007662081
6/26/2018,USD,USD_SwnVol,10Y,4Y,12.5,0.007660497
6/26/2018,USD,USD_SwnVol,10Y,4Y,25,0.007665937
6/26/2018,USD,USD_SwnVol,10Y,4Y,37.5,0.007678254
6/26/2018,USD,USD_SwnVol,10Y,4Y,50,0.007697263
6/26/2018,USD,USD_SwnVol,10Y,4Y,75,0.007754441
6/26/2018,USD,USD_SwnVol,10Y,4Y,100,0.007835367
6/26/2018,USD,USD_SwnVol,10Y,4Y,125,0.007937616
6/26/2018,USD,USD_SwnVol,10Y,4Y,150,0.008058633
6/26/2018,USD,USD_SwnVol,10Y,4Y,200,0.008347015
6/26/2018,USD,USD_SwnVol,10Y,4Y,250,0.008682469
6/26/2018,USD,USD_SwnVol,10Y,4Y,300,0.009050753
6/26/2018,USD,USD_SwnVol,10Y,4Y,400,0.009847063
6/26/2018,USD,USD_SwnVol,10Y,4Y,500,0.010684247
6/26/2018,USD,USD_SwnVol,10Y,4Y,1500,0.01901887
6/26/2018,USD,USD_SwnVol,10Y,5Y,-1500,0.00767958
6/26/2018,USD,USD_SwnVol,10Y,5Y,-500,0.007720349
6/26/2018,USD,USD_SwnVol,10Y,5Y,-400,0.007736786
6/26/2018,USD,USD_SwnVol,10Y,5Y,-300,0.007761933
6/26/2018,USD,USD_SwnVol,10Y,5Y,-250,0.00778125
6/26/2018,USD,USD_SwnVol,10Y,5Y,-200,0.007704951
6/26/2018,USD,USD_SwnVol,10Y,5Y,-150,0.007605109
6/26/2018,USD,USD_SwnVol,10Y,5Y,-125,0.007561914
6/26/2018,USD,USD_SwnVol,10Y,5Y,-100,0.007529455
6/26/2018,USD,USD_SwnVol,10Y,5Y,-75,0.007512031
6/26/2018,USD,USD_SwnVol,10Y,5Y,-50,0.007513732
6/26/2018,USD,USD_SwnVol,10Y,5Y,-37.5,0.007522957
6/26/2018,USD,USD_SwnVol,10Y,5Y,-25,0.007538358
6/26/2018,USD,USD_SwnVol,10Y,5Y,-12.5,0.007560339
6/26/2018,USD,USD_SwnVol,10Y,5Y,0,0.007589269
