Ticker,DividendDate,PayDate,Type,Value,Currency
.SPX,2019-03-18,2019-03-18,DISCRETE,0.392796946,USD
.SPX,2019-03-19,2019-03-19,DISCRETE,0.130966455,USD
.SPX,2019-03-20,2019-03-20,DISCRETE,0.130987329,USD
.SPX,2019-03-21,2019-03-21,DISCRETE,0.131008207,USD
.SPX,2019-03-22,2019-03-22,DISCRETE,0.131029088,USD
.SPX,2019-03-25,2019-03-25,DISCRETE,0.393236034,USD
.SPX,2019-03-26,2019-03-26,DISCRETE,0.131112651,USD
.SPX,2019-03-27,2019-03-27,DISCRETE,0.131133551,USD
.SPX,2019-03-28,2019-03-28,DISCRETE,0.131154455,USD
.SPX,2019-03-29,2019-03-29,DISCRETE,0.131175362,USD
.SPX,2019-04-01,2019-04-01,DISCRETE,0.39367514,USD
.SPX,2019-04-02,2019-04-02,DISCRETE,0.131259031,USD
.SPX,2019-04-03,2019-04-03,DISCRETE,0.131279957,USD
.SPX,2019-04-04,2019-04-04,DISCRETE,0.131300887,USD
.SPX,2019-04-05,2019-04-05,DISCRETE,0.131321821,USD
.SPX,2019-04-08,2019-04-08,DISCRETE,0.394114801,USD
.SPX,2019-04-09,2019-04-09,DISCRETE,0.131405595,USD
.SPX,2019-04-10,2019-04-10,DISCRETE,0.131426548,USD
.SPX,2019-04-11,2019-04-11,DISCRETE,0.131447505,USD
.SPX,2019-04-12,2019-04-12,DISCRETE,0.131468466,USD
.SPX,2019-04-15,2019-04-15,DISCRETE,0.394555018,USD
.SPX,2019-04-16,2019-04-16,DISCRETE,0.131552346,USD
.SPX,2019-04-17,2019-04-17,DISCRETE,0.131573325,USD
.SPX,2019-04-18,2019-04-18,DISCRETE,0.131594309,USD
.SPX,2019-04-19,2019-04-19,DISCRETE,0.131615296,USD
.SPX,2019-04-22,2019-04-22,DISCRETE,0.394995794,USD
.SPX,2019-04-23,2019-04-23,DISCRETE,0.131699283,USD
.SPX,2019-04-24,2019-04-24,DISCRETE,0.131720289,USD
.SPX,2019-04-25,2019-04-25,DISCRETE,0.131741299,USD
.SPX,2019-04-26,2019-04-26,DISCRETE,0.131762313,USD
.SPX,2019-04-29,2019-04-29,DISCRETE,0.395437131,USD
.SPX,2019-04-30,2019-04-30,DISCRETE,0.131846406,USD
.SPX,2019-05-01,2019-05-01,DISCRETE,0.131867439,USD
.SPX,2019-05-02,2019-05-02,DISCRETE,0.131888476,USD
.SPX,2019-05-03,2019-05-03,DISCRETE,0.131909516,USD
.SPX,2019-05-06,2019-05-06,DISCRETE,0.395879029,USD
.SPX,2019-05-07,2019-05-07,DISCRETE,0.131993717,USD
.SPX,2019-05-08,2019-05-08,DISCRETE,0.132014777,USD
.SPX,2019-05-09,2019-05-09,DISCRETE,0.13203584,USD
.SPX,2019-05-10,2019-05-10,DISCRETE,0.132056908,USD
.SPX,2019-05-13,2019-05-13,DISCRETE,0.396321491,USD
.SPX,2019-05-14,2019-05-14,DISCRETE,0.132141216,USD
.SPX,2019-05-15,2019-05-15,DISCRETE,0.132162303,USD
.SPX,2019-05-16,2019-05-16,DISCRETE,0.132183393,USD
.SPX,2019-05-17,2019-05-17,DISCRETE,0.132204488,USD
